id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q333250,Shirley Williams,1970-06-19,1971-10-19,,Q2883936,,
Q2883936,Barbara Castle,1971-10-19,1972-03-24,Q333250,Q6257849,,
Q6257849,John Silkin,1972-03-24,1974-03-04,Q2883936,Q333694,,
Q333694,Keith Joseph,1974-03-04,1974-03-11,Q6257849,Q332323,,
Q332323,Geoffrey Howe,1974-03-11,1975-02-18,Q333694,Q332919,,
Q332919,Norman Fowler,1975-02-18,1976-11-19,Q332323,Q24082,,
Q24082,"Patrick Jenkin, Baron Jenkin of Roding",1976-11-19,1979-05-04,Q332919,Q5233398,,
Q5233398,"David Ennals, Baron Ennals",1979-05-04,1979-06-14,Q24082,Q16294802,,
Q16294802,Stanley Orme,1979-06-14,1980-12-08,Q5233398,Q334006,,
Q334006,Gwyneth Dunwoody,1980-12-08,1983-10-31,Q16294802,Q583993,,
Q583993,Michael Meacher,1983-10-31,1987-07-13,Q334006,Q311214,,
Q311214,Robin Cook,1987-07-13,1992-07-18,Q583993,Q264196,,
Q264196,David Blunkett,1992-07-18,1994-10-20,Q311214,Q232639,,
Q232639,Margaret Beckett,1994-10-20,1995-10-19,Q264196,Q234182,,
Q234182,Harriet Harman,1995-10-19,1996-07-01,Q232639,Q333264,,
Q333264,"Chris Smith, Baron Smith of Finsbury",1996-07-01,1997-05-02,Q234182,Q300349,,
Q300349,Stephen Dorrell,1997-05-02,1997-06-11,Q333264,Q333007,,
Q333007,John Maples,1997-06-11,1998-06-01,Q300349,Q298846,,
Q298846,Ann Widdecombe,1998-06-01,1999-01-13,Q333007,Q332374,,
Q332374,Liam Fox,1999-01-13,2003-11-06,Q298846,Q259961,,
Q259961,Tim Yeo,2003-11-06,2004-06-19,Q332374,Q333276,,
Q333276,Andrew Lansley,2004-06-19,2010-05-12,Q259961,Q269909,,
Q269909,Andy Burnham,2010-05-12,2010-10-08,Q333276,Q615077,,
Q615077,John Healey (politician),2010-10-08,2011-10-06,Q269909,Q269909,,
Q269909,Andy Burnham,2011-10-07,2015-09-13,Q615077,Q259359,,
Q259359,Heidi Alexander,2015-09-13,2016-06-26,Q269909,Q153454,,
Q153454,Diane Abbott,2016-06-27,2016-10-06,Q259359,Q259895,,
Q259895,Jonathan Ashworth,2016-10-07,,Q153454,,,
